colName	rowName	seraName	virusName	seraYear	virusYear	titer	source
B/HongKong/330/2001	B/Beijing/243/1997	B/HongKong/330/2001	B/Beijing/243/1997	2001	1997	1280	Shaw2002
B/HK/330/01	B/Shandong/7/1997	B/HongKong/330/2001	B/Shandong/7/1997	2001	1997	1280	Xu2004
B/HK/330/01	B/HongKong/330/2001	B/HongKong/330/2001	B/HongKong/330/2001	2001	2001	160	MRC2002
B/HK/335/01	B/HongKong/330/2001	B/HongKong/335/2001	B/HongKong/330/2001	2001	2001	320	MRC2002
B/HK/330/01	B/HongKong/335/2001	B/HongKong/330/2001	B/HongKong/335/2001	2001	2001	160	MRC2002
B/HK/335/01	B/HongKong/335/2001	B/HongKong/335/2001	B/HongKong/335/2001	2001	2001	320	MRC2002
B/HK/335/01	B/HongKong/335/2001	B/HongKong/335/2001	B/HongKong/335/2001	2001	2001	640	MRC2003
B/HK/335/01	B/HongKong/335/2001	B/HongKong/335/2001	B/HongKong/335/2001	2001	2001	320	Ansaldi2004
B/HongKong/330/2001	B/HongKong/330/2001	B/HongKong/330/2001	B/HongKong/330/2001	2001	2001	160	Lin2007
B/HK/330/2001	B/HongKong/330/2001	B/HongKong/330/2001	B/HongKong/330/2001	2001	2001	5120	Puzelli2004
B/HongKong/22/2001	B/HongKong/22/2001	B/HongKong/22/2001	B/HongKong/22/2001	2001	2001	640	Shaw2002
B/HongKong/330/2001	B/HongKong/22/2001	B/HongKong/330/2001	B/HongKong/22/2001	2001	2001	640	Shaw2002
B/HongKong/22/2001	B/HongKong/330/2001	B/HongKong/22/2001	B/HongKong/330/2001	2001	2001	160	Shaw2002
B/HongKong/330/2001	B/HongKong/330/2001	B/HongKong/330/2001	B/HongKong/330/2001	2001	2001	640	Shaw2002
B/HongKong/22/2001	B/Oman/16296/2001	B/HongKong/22/2001	B/Oman/16296/2001	2001	2001	160	Shaw2002
B/HongKong/330/2001	B/Oman/16296/2001	B/HongKong/330/2001	B/Oman/16296/2001	2001	2001	320	Shaw2002
B/HongKong/22/2001	B/Philippines/5072/2001	B/HongKong/22/2001	B/Philippines/5072/2001	2001	2001	80	Shaw2002
B/HongKong/330/2001	B/Philippines/5072/2001	B/HongKong/330/2001	B/Philippines/5072/2001	2001	2001	160	Shaw2002
B/HongKong/22/2001	B/Malaysia/83077/2001	B/HongKong/22/2001	B/Malaysia/83077/2001	2001	2001	80	Shaw2002
B/HongKong/330/2001	B/Malaysia/83077/2001	B/HongKong/330/2001	B/Malaysia/83077/2001	2001	2001	160	Shaw2002
B/HongKong/22/2001	B/India/7600/2001	B/HongKong/22/2001	B/India/7600/2001	2001	2001	80	Shaw2002
B/HongKong/330/2001	B/India/7600/2001	B/HongKong/330/2001	B/India/7600/2001	2001	2001	160	Shaw2002
B/HK/330/01	B/HongKong/330/2001	B/HongKong/330/2001	B/HongKong/330/2001	2001	2001	640	Xu2004
B/HK/330/01	B/Malaysia/83077/2001	B/HongKong/330/2001	B/Malaysia/83077/2001	2001	2001	160	Xu2004
B/HK/330/01	B/Tehran/80/2002	B/HongKong/330/2001	B/Tehran/80/2002	2001	2002	40	MRC2002
B/HK/335/01	B/Tehran/80/2002	B/HongKong/335/2001	B/Tehran/80/2002	2001	2002	160	MRC2002
B/HK/330/01	B/Mauritius/219/2002	B/HongKong/330/2001	B/Mauritius/219/2002	2001	2002	40	MRC2002
B/HK/335/01	B/Mauritius/219/2002	B/HongKong/335/2001	B/Mauritius/219/2002	2001	2002	320	MRC2002
B/HK/335/01	B/Tehran/80/2002	B/HongKong/335/2001	B/Tehran/80/2002	2001	2002	320	MRC2003
B/HK/335/01	B/Brisbane/32/2002	B/HongKong/335/2001	B/Brisbane/32/2002	2001	2002	640	MRC2003
B/HK/335/01	B/Dakar/31/2002	B/HongKong/335/2001	B/Dakar/31/2002	2001	2002	640	MRC2003
B/HK/335/01	B/Genoa/55/2002	B/HongKong/335/2001	B/Genoa/55/2002	2001	2002	160	Ansaldi2004
B/HK/335/01	B/Genoa/33/2002	B/HongKong/335/2001	B/Genoa/33/2002	2001	2002	160	Ansaldi2004
B/HongKong/330/2001	B/Brisbane/32/2002	B/HongKong/330/2001	B/Brisbane/32/2002	2001	2002	160	Lin2007
B/HK/330/2001	B/Tehran/80/2002	B/HongKong/330/2001	B/Tehran/80/2002	2001	2002	2560	Puzelli2004
B/HK/330/2001	B/Milano/5/2002	B/HongKong/330/2001	B/Milano/5/2002	2001	2002	1280	Puzelli2004
B/HK/330/2001	B/Parma/28/2002	B/HongKong/330/2001	B/Parma/28/2002	2001	2002	5120	Puzelli2004
B/HongKong/22/2001	B/HongKong/1351/2002	B/HongKong/22/2001	B/HongKong/1351/2002	2001	2002	160	Shaw2002
B/HongKong/330/2001	B/HongKong/1351/2002	B/HongKong/330/2001	B/HongKong/1351/2002	2001	2002	320	Shaw2002
B/HongKong/22/2001	B/NewYork/1/2002	B/HongKong/22/2001	B/NewYork/1/2002	2001	2002	160	Shaw2002
B/HongKong/330/2001	B/NewYork/1/2002	B/HongKong/330/2001	B/NewYork/1/2002	2001	2002	160	Shaw2002
B/HK/330/01	B/NewYork/1/2002	B/HongKong/330/2001	B/NewYork/1/2002	2001	2002	160	Xu2004
B/HK/335/01	B/Trieste/1/2003	B/HongKong/335/2001	B/Trieste/1/2003	2001	2003	160	MRC2003
B/HK/335/01	B/Roma/3/2003	B/HongKong/335/2001	B/Roma/3/2003	2001	2003	640	MRC2003
B/HK/335/01	B/Barcelona/215/2003	B/HongKong/335/2001	B/Barcelona/215/2003	2001	2003	320	MRC2003
B/HK/335/01	B/Lipetsk/17/2003	B/HongKong/335/2001	B/Lipetsk/17/2003	2001	2003	640	MRC2003
B/HK/335/01	B/Geneva/5079/2003	B/HongKong/335/2001	B/Geneva/5079/2003	2001	2003	320	MRC2003
B/HongKong/330/2001	B/Taiwan/14/2004	B/HongKong/330/2001	B/Taiwan/14/2004	2001	2004	20	Lin2007
